"","X","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","r","close"
"88",88,13.823428620034,2.8316014110995,0,0,0.167885539737582,0,0,0,0,0,7.01391299375294,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.69739027747991,"FALSE"
"89",89,7.00973566150712,3.7825356724481,0,0,0.111476100778241,0,0,0,0,0,4.52195436622065,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.82488084429584,"TRUE"
"90",90,0,4.61948479085227,0,0,1.15665299398375,0,0,0,0,0,5.44316315626075,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.26222536899154,"FALSE"
"91",91,0,9.79067750926811,0,0,1.06587325094495,0,0,0,0,0,3.0450504635327,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.66314068447035,"FALSE"
"92",92,0,3.13494828330796,0,0,0.169406513212024,0,0,0,0,0,2.8963741209941,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.75840181272057,"TRUE"
"93",93,0,5.22046657193548,0,0,0.761524071480877,0,0,0,0,0,4.14378301114472,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.17792638285543,"FALSE"
"94",94,0,5.90029206364556,0,0,1.3743218099915,0,0,0,0,0,6.05949147083266,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.48927995351027,"FALSE"
"95",95,0,2.9953865406795,0,0,4.91966403017952,2.3195561477541,0,0,0,0,6.40297374514009,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.04426827083562,"TRUE"
"96",96,0,9.29727551925998,0,0,4.68401812307803,2.50917984556091,0,0,0,0,6.50346996701623,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.77429655296937,"TRUE"
"97",97,0,3.77122772130853,0,0,0,0.273973345012673,0,0,0,0,6.82835632737474,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.5212092838997,"FALSE"
"98",98,0,8.72898248193634,0,0,0,1.58415602556294,0,0,0,0,5.97497987754532,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.13322994551394,"FALSE"
"99",99,0,1.80077805629362,0,0,0,2.92089102911176,0,0,0,0,2.2141104063019,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.12297155294196,"FALSE"
"100",100,0,5.13979166545826,0,0,0,1.71044652322018,0,0,0,0,9.59039773213565,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.01334008073253,"FALSE"
"101",101,0,0,2.4980575996779,0,5.88714163124674,0,0,0,0,26.4729371314874,17.0598070163702,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,10.5930023766067,"FALSE"
"102",102,0,0,5.58747295993873,0,4.90920606173315,0,0,0,0,0,19.6217148430124,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,7.31013397478124,"FALSE"
"103",103,0,0,2.78129267543003,0,9.57835582523419,0,0,0,0,0,11.2928392371335,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6.87536984317876,"FALSE"
"104",104,0,0,6.84481286290394,5.34179249493121,8.27820718667916,0,0,0,0,0,11.097255868468,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,9.28804455208715,"FALSE"
"105",105,0,0,3.83127386816324,3.13590753517729,8.91002583757106,0,0,0,0,0,9.24357226524263,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,8.39866016792752,"FALSE"
