Country		Population	Adult literacy rate, both sexes (%)	Expendeture on education as % of GDP	Primary Completion rate, both sexes (%)	Primary Completetion rate, Male(%)	Primary completion rate, Female (%)	Youth (15-24 years) literacy rate, Female (%)	Youth Literacy rate, Male (%)
Luxembourg		543360	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Latvia		2012647	99.89590454	4.586530209	106.0914307	106.3065186	105.8875885	99.87010956	99.80218506
Morocco		33452686	67.08415985	6.253530025	98.90911102	98.40930176	99.38442993	74.0342865	88.829422
Monaco		37528	N/A	1.333320022	N/A	N/A	N/A	N/A	N/A
Moldova		3558566	99.16706085	8.348959923	93.03943634	92.71388245	93.34651947	100	100
Madagascar		22924557	64.48090363	2.07998991	68.45648193	70.1892395	66.73265839	63.96708298	65.91478729
Maldives		393000	98.39789581	6.194290161	N/A	N/A	N/A	N/A	N/A
Mexico		123740109	93.96284485	5.14620018	103.2030716	104.5493469	101.9191208	98.60190582	98.52684021
Marshall-Islands		52786	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macedonia		2072543	97.63466644	N/A	N/A	N/A	N/A	98.48587799	98.7780304
Mali		16592097	33.56093979	4.186759949	58.83010864	N/A	N/A	39.008564	56.31502151
Malta		423374	93.30735779	6.759659767	N/A	N/A	N/A	99.38657379	98.40397644
Myanmar		52983829	92.78524017	N/A	N/A	N/A	N/A	96.0037384	96.25534058
Montenegro		621207	98.44220734	N/A	N/A	N/A	N/A	99.05260468	99.36078644
Mongolia		2859174	98.25700378	5.476170063	N/A	N/A	N/A	98.90873718	98.02181244
Mozambique		26467180	50.58381271	6.64207983	49.24856949	45.65098953	52.85150146	56.54005051	79.84043884
Mauritania		3872684	45.50378418	3.985650063	70.87001801	72.02011871	69.75434875	47.7123909	66.39987946
Mauritius		1258653	89.24983215	3.676700115	101.530777	103.007019	100.0859299	98.57592773	97.68915558
Malawi		16190126	61.3097229	7.699880123	75.29595947	75.35649872	75.23652649	69.98173523	74.26925659
Malaysia		29465372	93.11788177	5.934740067	N/A	N/A	N/A	98.45825958	98.38103485
Namibia		2346592	76.48659515	8.349860191	N/A	N/A	N/A	90.61542511	83.2385788
Niger		18358863	15.45669746	4.544250011	49.59088898	43.97676086	54.99113083	15.05777168	34.53362274
Nigeria		172816517	51.07765961	N/A	N/A	N/A	N/A	57.95389175	75.56594086
Nicaragua		5945646	78.00298309	4.39413023	N/A	N/A	N/A	88.84248352	85.15561676
Netherlands		16804432	N/A	5.514279842	N/A	N/A	N/A	N/A	N/A
Norway		5079623	N/A	6.552840233	100.4426422	100.2127914	100.6618195	N/A	N/A
Nepal		27834981	59.62725067	4.087470055	99.81462097	104.3455963	95.56175232	80.20683289	89.88401794
New-Zealand		4442100	N/A	7.354400158	N/A	N/A	N/A	N/A	N/A
Oman		3906912	91.98120117	4.187749863	97.6386795	100.7086105	94.72284698	98.16507721	97.40564728
Pakistan		181192646	56.76434326	2.493439913	73.12394714	67.12744904	78.62542725	64.47409821	80.28826141
Panama		3805683	94.09412384	3.29343009	96.38059998	95.86219025	96.878479	97.33686829	97.9344635
Peru		30565461	93.84172821	3.277080059	92.50322723	92.57317352	92.43570709	98.67575073	98.71933746
Philippines		97571676	95.42009735	2.652950048	93.73197937	95.50122833	92.04237366	98.49152374	97.01995087
Palau		20919	99.52396393	N/A	108.3682022	112.5	104.724411	99.82954407	99.7951889
Papua-New-Guinea		7308864	63.33774948	N/A	N/A	N/A	N/A	76.81726837	66.6499176
Poland		38040196	99.76248932	4.861209869	97.74208069	97.58733368	97.88900757	99.99996948	99.99996948
Korea,Dem.Rep.		24895705	99.9982605	N/A	N/A	N/A	N/A	99.99978638	99.99959564
Portugal		10457295	94.47705078	5.121290207	N/A	N/A	N/A	99.47964478	99.3917923
Paraguay		6465669	94.61672211	4.963039875	N/A	N/A	N/A	98.7288208	98.50033569
Qatar		2101288	97.74668884	2.448339939	N/A	N/A	N/A	99.33437347	98.82147217
Romania		19983693	98.60428619	2.985500097	N/A	N/A	N/A	98.97621918	99.01408386
Russia		143506911	99.68426514	4.101749897	99.93047333	N/A	N/A	99.75802612	99.66278076
Rwanda		11078095	68.3310318	5.02794981	59.33856964	64.31967926	54.32337952	83.48738861	81.12004852
Saudi-Arabia		30201051	94.42634583	5.13781023	107.77005	111.9753036	104.0989914	99.13698578	99.30072021
Sudan		38515095	74.27256012	2.218679905	N/A	N/A	N/A	86.28073883	90.650383
Senegal		14221041	42.81750107	5.599979877	N/A	N/A	N/A	50.96892929	61.1137619
Singapore		5399200	96.54014587	2.935770035	N/A	N/A	N/A	99.88262939	99.88562775
Solomon-Islands		560685	76.59999847	9.853710175	86.29415894	86.25408936	86.33184052	N/A	N/A
Sierra-Leone		6178859	45.65007019	2.830919981	71.02854156	69.48602295	72.57398987	55.59799957	73.01856995
